# rule	path	count
mongodb_bson	services/src/purchase_order/creation_basis.rs	1
doc_macro	services/src/purchase_order/formalization.rs	1
find_many	services/src/purchase_order/formalization.rs	1
mongodb_bson	services/src/purchase_order/formalization.rs	1
doc_macro	services/src/purchase_order/query.rs	10
find_many	services/src/purchase_order/query.rs	10
mongodb_bson	services/src/purchase_order/query.rs	10
doc_macro	services/src/purchase_order/review.rs	2
find_many	services/src/purchase_order/review.rs	1
find_one	services/src/purchase_order/review.rs	1
mongodb_bson	services/src/purchase_order/review.rs	2
doc_macro	services/src/purchase_order/submission.rs	2
find_many	services/src/purchase_order/submission.rs	2
mongodb_bson	services/src/purchase_order/submission.rs	2
doc_macro	services/src/receivable/cancel_approval.rs	1
find_many	services/src/receivable/cancel_approval.rs	1
mongodb_bson	services/src/receivable/cancel_approval.rs	1
doc_macro	services/src/receivable/mod.rs	4
find_many	services/src/receivable/mod.rs	4
mongodb_bson	services/src/receivable/mod.rs	1
doc_macro	services/src/returns/cancel_approval.rs	1
find_many	services/src/returns/cancel_approval.rs	1
mongodb_bson	services/src/returns/cancel_approval.rs	1
doc_macro	services/src/sales_order/cancel_approval.rs	1
find_many	services/src/sales_order/cancel_approval.rs	1
mongodb_bson	services/src/sales_order/cancel_approval.rs	1
doc_macro	services/src/sales_order/command.rs	2
find_many	services/src/sales_order/command.rs	2
find_one_by_field	services/src/sales_order/command.rs	1
mongodb_bson	services/src/sales_order/command.rs	2
doc_macro	services/src/sales_order/formalize.rs	2
find_many	services/src/sales_order/formalize.rs	2
mongodb_bson	services/src/sales_order/formalize.rs	2
doc_macro	services/src/sales_order/progress.rs	1
find_many	services/src/sales_order/progress.rs	1
mongodb_bson	services/src/sales_order/progress.rs	1
doc_macro	services/src/sales_order/query.rs	2
find_many	services/src/sales_order/query.rs	2
mongodb_bson	services/src/sales_order/query.rs	2
doc_macro	services/src/sales_review/cancel_approval.rs	1
find_many	services/src/sales_review/cancel_approval.rs	1
mongodb_bson	services/src/sales_review/cancel_approval.rs	1
doc_macro	services/src/sales_review/sales_change_order.rs	3
find_many	services/src/sales_review/sales_change_order.rs	1
find_one	services/src/sales_review/sales_change_order.rs	2
find_one_by_field	services/src/sales_review/sales_change_order.rs	1
mongodb_bson	services/src/sales_review/sales_change_order.rs	3
doc_macro	services/src/supplier/mod.rs	22
find_many	services/src/supplier/mod.rs	6
find_many_sorted	services/src/supplier/mod.rs	8
mongodb_bson	services/src/supplier/mod.rs	1
doc_macro	services/src/supplier/profile.rs	6
find_many	services/src/supplier/profile.rs	9
mongodb_bson	services/src/supplier/profile.rs	1
doc_macro	services/src/supplier_api/governance.rs	1
